age_group,year,percentage,count
0-14,1990,15.0,73962
0-14,1991,15.1,75134
0-14,1992,15.3,76792
0-14,1993,15.5,78657
0-14,1994,15.5,80193
0-14,1995,15.6,81998
0-14,1996,15.6,83189
0-14,1997,15.5,83606
0-14,1998,15.4,83988
0-14,1999,15.2,83999
0-14,2000,15.1,83782
0-14,2001,14.9,83636
0-14,2002,14.9,83146
0-14,2003,14.7,82322
0-14,2004,14.5,81228
0-14,2005,14.3,80030
0-14,2006,14.0,78962
0-14,2007,13.7,78084
0-14,2008,13.6,78077
0-14,2009,13.6,79213
0-14,2010,13.5,79702
0-14,2011,13.6,80773
0-14,2012,13.6,82186
0-14,2013,13.7,84154
0-14,2014,13.9,86020
0-14,2015,14.0,87908
0-14,2016,14.1,89672
0-14,2017,14.3,91743
0-14,2018,14.3,92718
0-14,2019,14.3,93557
0-14,2020,14.3,94116
0-14,2021,14.3,94335
0-14,2022,14.2,94585
0-14,2023,14.1,95195
0-14,2024,14.0,95775
15-64,1990,70.6,347764
15-64,1991,70.6,351412
15-64,1992,70.5,353440
15-64,1993,70.5,358338
15-64,1994,70.5,363357
15-64,1995,70.5,370288
15-64,1996,70.6,375720
15-64,1997,70.8,382070
15-64,1998,71.1,388558
15-64,1999,71.3,393088
15-64,2000,71.5,397126
15-64,2001,71.7,401211
15-64,2002,71.7,401244
15-64,2003,71.7,401080
15-64,2004,71.7,400819
15-64,2005,71.9,403013
15-64,2006,71.8,405581
15-64,2007,72.1,409766
15-64,2008,72.0,413961
15-64,2009,71.9,419346
15-64,2010,71.5,420781
15-64,2011,71.0,422926
15-64,2012,70.6,426402
15-64,2013,70.1,429682
15-64,2014,69.8,432986
15-64,2015,69.4,436236
15-64,2016,69.2,439517
15-64,2017,68.9,443161
15-64,2018,68.7,445021
15-64,2019,68.5,447660
15-64,2020,68.3,448498
15-64,2021,68.1,448140
15-64,2022,68.1,452284
15-64,2023,68.3,460666
15-64,2024,68.4,467768
65+,1990,14.4,70674
65+,1991,14.3,70996
65+,1992,14.2,71282
65+,1993,14.1,71593
65+,1994,14.0,72215
65+,1995,13.9,72745
65+,1996,13.7,73144
65+,1997,13.7,73687
65+,1998,13.5,73771
65+,1999,13.4,74036
65+,2000,13.4,74566
65+,2001,13.4,74871
65+,2002,13.5,75326
65+,2003,13.6,75928
65+,2004,13.8,76999
65+,2005,13.9,77862
65+,2006,14.2,79978
65+,2007,14.2,80681
65+,2008,14.4,82526
65+,2009,14.5,84791
65+,2010,15.0,88066
65+,2011,15.4,91685
65+,2012,15.8,95380
65+,2013,16.1,98828
65+,2014,16.4,101709
65+,2015,16.6,104064
65+,2016,16.7,105992
65+,2017,16.8,108368
65+,2018,17.0,110303
65+,2019,17.2,112618
65+,2020,17.4,114306
65+,2021,17.6,115982
65+,2022,17.6,117159
65+,2023,17.6,118639
65+,2024,17.6,120475
